image_index,mse,annotation
595,2.7779598,correct
596,0.81992817,correct
597,0.74962604,correct
598,319.32208,incorrect
599,0.5415034,correct
600,0.85903484,correct
601,0.16803987,correct
602,1.2547017,correct
603,1.1393089,correct
604,0.3153562,correct
605,0.4584139,correct
606,0.87362456,correct
607,124.178085,incorrect
608,1.3684431,correct
609,0.31238246,correct
610,2.018094,correct
611,0.63765633,correct
612,0.55074966,correct
613,1.020541,correct
614,0.34844238,correct
615,1.005456,correct
616,0.55758744,correct
617,0.3235588,correct
618,0.6996219,correct
619,0.9894416,correct
620,0.75130403,correct
621,0.43316445,correct
622,0.38841537,correct
623,0.8682753,correct
624,0.7821701,correct
625,0.33530825,correct
626,0.6969615,correct
627,0.7682595,correct
628,0.5223717,correct
629,0.52012694,correct
630,0.27040225,correct
631,0.6978595,correct
632,0.76254296,correct
633,0.731565,correct
634,0.7026901,correct
635,0.63328373,correct
636,1184.2178,incorrect
637,0.37754673,correct
638,1.9503295,correct
639,0.34056866,correct
640,59.49325,incorrect
641,0.53619635,correct
642,1.0161752,correct
643,0.7718281,correct
644,801.71857,incorrect
645,0.36658338,correct
646,3238.176,incorrect
647,0.9786745,correct
648,0.5036517,correct
649,0.38371098,correct
650,1.4132508,correct
651,0.54100126,correct
652,3.6073446,correct
653,0.98810995,correct
654,0.347093,correct
655,1.0476642,correct
656,0.50783396,correct
657,1.2990124,correct
658,0.6012223,correct
659,0.8872442,correct
660,1.0679471,correct
661,0.89206034,correct
662,0.55963624,correct
663,1.0547327,correct
664,1.1418601,correct
665,0.44215754,correct
666,335.63358,incorrect
667,0.66805655,correct
668,0.42041063,correct
669,1.159482,correct
670,0.47767535,correct
671,1368.123,incorrect
672,1.0430218,correct
673,0.4740695,correct
674,0.76794994,correct
675,0.8578193,correct
676,0.9743247,correct
677,0.9798944,correct
678,0.408776,correct
679,1.5712776,correct
680,0.93187094,correct
681,0.8882295,correct
682,1.0237025,correct
683,0.5416852,correct
684,0.49411345,correct
685,0.87680185,correct
686,2999.1362,incorrect
687,72.12611,incorrect
688,1.2549502,correct
689,0.29416096,correct
690,0.5090984,correct
691,0.71772385,correct
692,0.8260344,correct
693,0.77949935,correct
694,0.616715,correct
695,0.9622966,correct
696,0.4527452,correct
697,0.90401417,correct
698,0.83703834,correct
699,0.56156945,correct
700,0.51628894,correct
701,0.6984073,correct
702,1.4782994,correct
703,1.1565166,correct
704,0.48322707,correct
705,445.23593,incorrect
706,0.71023005,correct
707,0.62248,correct
708,0.6346095,correct
709,0.97112125,correct
710,0.45591828,correct
711,0.6149552,correct
712,2.2713387,correct
713,0.7150022,correct
714,1.3534327,correct
715,0.6874539,correct
716,0.4380593,correct
717,1.7921753,correct
718,0.72724015,correct
719,0.56868446,correct
720,0.2970956,correct
721,0.3532886,correct
722,0.5702026,correct
723,0.5200585,correct
724,0.30016738,correct
725,0.3790596,correct
726,0.4530556,correct
727,0.8131508,correct
728,0.29468462,correct
729,0.87967026,correct
730,0.65165347,correct
731,2.0649033,correct
732,0.97815585,correct
733,0.55675286,correct
734,0.4012366,correct
735,0.3263557,correct
736,0.47128373,correct
737,0.58386505,correct
738,0.33871096,correct
739,1.5316775,correct
740,0.58133346,correct
741,0.7081939,correct
742,0.27501237,correct
743,0.3587417,correct
744,0.73083085,correct
