image_index,mse,annotation
588,0.52309114,correct
589,1.1089618,correct
590,4.0472,correct
591,0.69261557,correct
592,3.640561,correct
593,0.81984603,correct
594,0.8802776,correct
595,0.4453948,correct
596,0.6158003,correct
597,0.3636728,correct
598,0.2965892,correct
599,39.61407,incorrect
600,1.1442963,correct
601,0.55328983,correct
602,1.4434438,correct
603,0.73010796,correct
604,0.7124436,correct
605,0.3887456,correct
606,0.58999056,correct
607,0.839707,correct
608,0.94185853,correct
609,0.47338578,correct
610,0.49415606,correct
611,0.76049036,correct
612,0.5579526,correct
613,0.6106428,correct
614,0.9802146,correct
615,0.5141382,correct
616,0.7015169,correct
617,0.38053098,correct
618,0.7305443,correct
619,0.7179718,correct
620,0.2883302,correct
621,0.8941372,correct
622,0.6163353,correct
623,0.33243144,correct
624,0.79733926,correct
625,1.0306289,correct
626,0.7722677,correct
627,0.84681773,correct
628,0.59570694,correct
629,1.1580384,correct
630,0.66251314,correct
631,0.95680535,correct
632,969.7391,incorrect
633,1.2945346,correct
634,0.63604397,correct
635,454.30905,incorrect
636,0.4478641,correct
637,2.220827,correct
638,0.95929885,correct
639,0.83681595,correct
640,0.9692352,correct
641,0.952454,correct
642,0.35015923,correct
643,0.5486648,correct
644,0.8142601,correct
645,0.5024801,correct
646,0.37647083,correct
647,0.3692476,correct
648,0.66160107,correct
649,0.66713715,correct
650,3.128048,correct
651,0.532113,correct
652,0.14325795,correct
653,0.83488864,correct
654,0.4734445,correct
655,0.6077982,correct
656,2.2926126,correct
657,1.5556358,correct
658,1998.5459,incorrect
659,0.52953255,correct
660,0.45540363,correct
661,0.6078762,correct
662,0.5033597,correct
663,0.7953911,correct
664,0.8558954,correct
665,402.75424,incorrect
666,0.8270465,correct
667,0.9550702,correct
668,0.45354894,correct
669,0.26533496,correct
670,0.7550494,correct
671,0.5438738,correct
672,0.49298495,correct
673,0.6099769,correct
674,0.4861184,correct
675,1.0848294,correct
676,0.3201629,correct
677,0.49196655,correct
678,1.273624,correct
679,1.9082084,correct
680,1.3550388,correct
681,1.0979667,correct
682,0.14580546,correct
683,0.6204206,correct
684,1.1073352,correct
685,0.9130486,correct
686,0.27296168,correct
687,1.4086502,correct
688,1.3518687,correct
689,0.9826483,correct
690,0.6026069,correct
